NMDO IRI,PROMOT Count,PROMOT IRIs,PROMOT Labels,LLM Scores,Review Note
http://purl.obolibrary.org/obo/HP_0001446,2,http://id.who.int/icd/entity/1867012554 | http://id.who.int/icd/entity/1019379329,Muscles of upper arm | Structure of upper extremity,0.6485 | 0.5047,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0001608,9,http://id.who.int/icd/entity/1846694084 | http://id.who.int/icd/entity/712570723 | http://id.who.int/icd/entity/388067588 | http://id.who.int/icd/entity/1034220517 | http://id.who.int/icd/entity/2069371821 | http://id.who.int/icd/entity/151046878 | http://id.who.int/icd/entity/1811133755 | http://id.who.int/icd/entity/2069698903 | http://id.who.int/icd/entity/2052957777,Quality of voice | Voice functions | Voice and speech functions | Alternative vocalization functions | Rhythm of speech | Speaking | Mental functions of language | Expression of language | Expression of spoken language,0.661 | 0.6512 | 0.592 | 0.5778 | 0.5205 | 0.4916 | 0.4617 | 0.4403 | 0.4314,9 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0002015,5,http://purl.obolibrary.org/obo/PROMOT_0032017 | http://purl.obolibrary.org/obo/PROMOT_0032016 | http://id.who.int/icd/entity/923782542 | http://id.who.int/icd/entity/1580195090 | http://id.who.int/icd/entity/1041382491,Dysphagia for solid | Dysphagia for liquid | Swallowing | Digestive functions | Oral swallowing,0.6694 | 0.6219 | 0.6115 | 0.5417 | 0.513,5 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0002027,3,http://id.who.int/icd/entity/1065560247 | http://id.who.int/icd/entity/117147127 | http://id.who.int/icd/entity/682314871,Pain in stomach or abdomen | Pain in chest | Pain in back,0.7944 | 0.5325 | 0.4803,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0002013,3,http://id.who.int/icd/entity/1083127119 | http://id.who.int/icd/entity/1389818830 | http://purl.obolibrary.org/obo/PROMOT_0032006,Functions of coughing | Chewing | Choking on foods,0.4835 | 0.439 | 0.436,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/PATO_0002014,2,http://purl.obolibrary.org/obo/PROMOT_0032063 | http://id.who.int/icd/entity/1104062484,Power of diaphragm | Pubertal functions,0.5256 | 0.4579,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0012337,4,http://purl.obolibrary.org/obo/PROMOT_0032001 | http://id.who.int/icd/entity/1131514421 | http://id.who.int/icd/entity/1266389839 | http://id.who.int/icd/entity/1452836727,abnormal disposition | Maintaining body position | Changing and maintaining body position | Household tasks,0.6089 | 0.5296 | 0.5266 | 0.4452,4 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0034430,3,http://id.who.int/icd/entity/1919311435 | http://id.who.int/icd/entity/1134562249 | http://id.who.int/icd/entity/1264948861,Articulation functions | Functions of the joints and bones | Stability of joint functions,0.6566 | 0.6146 | 0.6009,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0011804,2,http://id.who.int/icd/entity/1164313611 | http://id.who.int/icd/entity/184992399,Muscle functions | Functions related to mucus,0.6353 | 0.4421,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0001007,4,http://id.who.int/icd/entity/850289698 | http://id.who.int/icd/entity/1328675264 | http://id.who.int/icd/entity/363211474 | http://id.who.int/icd/entity/1174312718,"Functions of the digestive, metabolic and endocrine systems | Eating | Ingestion functions | Manipulation of food in the mouth",0.671 | 0.5289 | 0.5241 | 0.4464,4 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0000925,2,http://id.who.int/icd/entity/341679012 | http://id.who.int/icd/entity/1182439715,Structure of vertebral column | Cervical vertebral column,0.5504 | 0.5225,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0001690,2,http://id.who.int/icd/entity/1255154286 | http://id.who.int/icd/entity/890173921,Hearing and vestibular functions | Seeing and related functions,0.6431 | 0.5986,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0005893,3,http://id.who.int/icd/entity/1650503157 | http://id.who.int/icd/entity/933576740 | http://id.who.int/icd/entity/1278239861,Bones of ankle and foot | Structure of ankle and foot | Muscles of ankle and foot,0.6207 | 0.5623 | 0.5171,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0012531,3,http://id.who.int/icd/entity/577558794 | http://id.who.int/icd/entity/454325322 | http://id.who.int/icd/entity/1299345975,Pain in body part | Pain in multiple body parts | Pain in upper limb,0.6724 | 0.643 | 0.4748,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0007715,5,http://purl.obolibrary.org/obo/PROMOT_0032021 | http://purl.obolibrary.org/obo/PROMOT_0032029 | http://id.who.int/icd/entity/405925948 | http://purl.obolibrary.org/obo/PROMOT_0032065 | http://id.who.int/icd/entity/1302007745,Fatigable weakness of the ocular muscles | Endurance of extra-ocular muscle | External ocular muscles | Power of extra-ocular muscle | Endurance of isolated muscles,0.7693 | 0.756 | 0.7449 | 0.729 | 0.5553,5 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
