ID,Label,Definition,PROMOT Cross-reference,Associated Phenotype (URI),Associated Phenotype (label),Assesses Phenotype (URI),Assesses Phenotype (label),Assesses Function (URI),Assesses Function (label),Captures Data About (URI),Captures Data About (label),Associated Function (URI),Associated Function (label),Involved In (URI),Involved In (label),Located In (URI),Located In (label),LLM Score,LLM Top Candidates,LLM Match Note
ID,LABEL,A IAO:0000115,A oboInOwl:hasDbXref,A nmdo:associated_phenotype SPLIT=|,A nmdo:associated_phenotype_label SPLIT=|,A nmdo:assesses_phenotype SPLIT=|,A nmdo:assesses_phenotype_label SPLIT=|,A nmdo:assesses_function SPLIT=|,A nmdo:assesses_function_label SPLIT=|,A nmdo:captures_data_about SPLIT=|,A nmdo:captures_data_about_label SPLIT=|,A nmdo:associated_function SPLIT=|,A nmdo:associated_function_label SPLIT=|,A nmdo:involved_in SPLIT=|,A nmdo:involved_in_label SPLIT=|,A nmdo:located_in SPLIT=|,A nmdo:located_in_label SPLIT=|,"","",A rdfs:comment
http://purl.obolibrary.org/obo/HP_0001446,Abnormality of the musculature of the upper limbs,"",http://id.who.int/icd/entity/1019379329|http://id.who.int/icd/entity/1867012554,http://purl.obolibrary.org/obo/HP_0003694|http://purl.obolibrary.org/obo/HP_0009028|http://purl.obolibrary.org/obo/HP_0009073|http://purl.obolibrary.org/obo/HP_0030200|http://purl.obolibrary.org/obo/HP_0031108,Late-onset proximal muscle weakness|Generalized weakness of limb muscles|Progressive proximal muscle weakness|Fatiguable weakness of proximal limb muscles|Fatiguable weakness of proximal limb muscles |Triceps weakness,"","","","","","",http://id.who.int/icd/entity/1521707777|http://id.who.int/icd/entity/1789365017,Endurance of muscle groups|Power of isolated muscles and muscle groups,"","","","",0.6485,Abnormality of the musculature of the upper limbs [0.505] | arm bone [0.492] | forelimb bud [0.479] || Abnormality of the musculature of the upper limbs [0.649] | Upper limb muscle weakness [0.549] | musculature of forelimb zeugopod [0.475],PROMOT mapping: 'Structure of upper extremity' (LLM score: 0.5047) | Candidates: Abnormality of the musculature of the upper limbs [0.505] | arm bone [0.492] | forelimb bud [0.479] | PROMOT mapping: 'Muscles of upper arm' (LLM score: 0.6485) | Candidates: Abnormality of the musculature of the upper limbs [0.649] | Upper limb muscle weakness [0.549] | musculature of forelimb zeugopod [0.475]
http://purl.obolibrary.org/obo/HP_0001608,Abnormality of the voice,"",http://id.who.int/icd/entity/1034220517|http://id.who.int/icd/entity/151046878|http://id.who.int/icd/entity/1811133755|http://id.who.int/icd/entity/1846694084|http://id.who.int/icd/entity/2052957777|http://id.who.int/icd/entity/2069371821|http://id.who.int/icd/entity/2069698903|http://id.who.int/icd/entity/388067588|http://id.who.int/icd/entity/712570723,http://snomed.info/id/84100007,"Clinical interview|History taking|History taking, health|Taking health history","","","","","","","","",http://id.who.int/icd/entity/151046878,Speaking,"","",0.661,Abnormality of the voice [0.578] | Loss of voice [0.508] | Arrhythmia [0.485] || Abnormality of the voice [0.492] | SYT2 [0.441] | kyphoscoliosis-lateral tongue atrophy-hereditary spastic paraplegia syndrome [0.422] || Abnormality of the voice [0.462] | Abnormality of mental function [0.436] | Intellectual disability [0.421] || Abnormality of the voice [0.661] | Loss of voice [0.559] | Hoarse voice [0.554] || Abnormality of the voice [0.431] | Dysarthria [0.418] | anatomical projection [0.383] || Abnormality of the voice [0.521] | Arrhythmia [0.484] | Percussion-induced rapid rolling muscle contractions [0.474] || Abnormality of the voice [0.44] | Dysarthria [0.424] | disseminated [0.422] || Abnormality of the voice [0.592] | Dysphonia [0.496] | vestibular organ [0.485] || Abnormality of the voice [0.651] | Loss of voice [0.525] | Dysphonia [0.471],PROMOT mapping: 'Alternative vocalization functions' (LLM score: 0.5778) | Candidates: Abnormality of the voice [0.578] | Loss of voice [0.508] | Arrhythmia [0.485] | PROMOT mapping: 'Speaking' (LLM score: 0.4916) | Candidates: Abnormality of the voice [0.492] | SYT2 [0.441] | kyphoscoliosis-lateral tongue atrophy-hereditary spastic paraplegia syndrome [0.422] | PROMOT mapping: 'Mental functions of language' (LLM score: 0.4617) | Candidates: Abnormality of the voice [0.462] | Abnormality of mental function [0.436] | Intellectual disability [0.421] | PROMOT mapping: 'Quality of voice' (LLM score: 0.661) | Candidates: Abnormality of the voice [0.661] | Loss of voice [0.559] | Hoarse voice [0.554] | PROMOT mapping: 'Expression of spoken language' (LLM score: 0.4314) | Candidates: Abnormality of the voice [0.431] | Dysarthria [0.418] | anatomical projection [0.383] | PROMOT mapping: 'Rhythm of speech' (LLM score: 0.5205) | Candidates: Abnormality of the voice [0.521] | Arrhythmia [0.484] | Percussion-induced rapid rolling muscle contractions [0.474] | PROMOT mapping: 'Expression of language' (LLM score: 0.4403) | Candidates: Abnormality of the voice [0.44] | Dysarthria [0.424] | disseminated [0.422] | PROMOT mapping: 'Voice and speech functions' (LLM score: 0.592) | Candidates: Abnormality of the voice [0.592] | Dysphonia [0.496] | vestibular organ [0.485] | PROMOT mapping: 'Voice functions' (LLM score: 0.6512) | Candidates: Abnormality of the voice [0.651] | Loss of voice [0.525] | Dysphonia [0.471]
http://purl.obolibrary.org/obo/HP_0002015,Dysphagia,"",http://id.who.int/icd/entity/1041382491|http://id.who.int/icd/entity/1580195090|http://id.who.int/icd/entity/923782542|http://purl.obolibrary.org/obo/PROMOT_0032016|http://purl.obolibrary.org/obo/PROMOT_0032017,"","","","","","","","","","",http://id.who.int/icd/entity/1328675264|http://id.who.int/icd/entity/553784299,Eating|Drinking,"","",0.6694,Dysphagia [0.513] | Vomiting [0.488] | mouth-foregut junction [0.469] || Dysphagia [0.542] | Abnormality of digestive system physiology [0.511] | gustatory system [0.493] || Dysphagia [0.612] | Vomiting [0.485] | exocrine pancreatic insufficiency [0.48] || Dysphagia [0.622] | Constipation [0.551] | disorder of glycolysis [0.509] || Dysphagia [0.669] | disorder of glycogen metabolism [0.558] | glycogen storage disease due to glycogen branching enzyme deficiency [0.555],PROMOT mapping: 'Oral swallowing' (LLM score: 0.513) | Candidates: Dysphagia [0.513] | Vomiting [0.488] | mouth-foregut junction [0.469] | PROMOT mapping: 'Digestive functions' (LLM score: 0.5417) | Candidates: Dysphagia [0.542] | Abnormality of digestive system physiology [0.511] | gustatory system [0.493] | PROMOT mapping: 'Swallowing' (LLM score: 0.6115) | Candidates: Dysphagia [0.612] | Vomiting [0.485] | exocrine pancreatic insufficiency [0.48] | PROMOT mapping: 'Dysphagia for liquid' (LLM score: 0.6219) | Candidates: Dysphagia [0.622] | Constipation [0.551] | disorder of glycolysis [0.509] | PROMOT mapping: 'Dysphagia for solid' (LLM score: 0.6694) | Candidates: Dysphagia [0.669] | disorder of glycogen metabolism [0.558] | glycogen storage disease due to glycogen branching enzyme deficiency [0.555]
http://purl.obolibrary.org/obo/HP_0002027,Abdominal pain,"",http://id.who.int/icd/entity/1065560247|http://id.who.int/icd/entity/117147127|http://id.who.int/icd/entity/682314871,http://snomed.info/id/84100007,"Clinical interview|History taking|History taking, health|Taking health history","","","","","","","","","","","","",0.7944,Abdominal pain [0.794] | Pain [0.578] | stomach disorder [0.575] || Abdominal pain [0.533] | Abnormal thorax morphology [0.513] | Headache [0.5] || Abdominal pain [0.48] | Headache [0.466] | neurological pain disorder [0.456],PROMOT mapping: 'Pain in stomach or abdomen' (LLM score: 0.7944) | Candidates: Abdominal pain [0.794] | Pain [0.578] | stomach disorder [0.575] | PROMOT mapping: 'Pain in chest' (LLM score: 0.5325) | Candidates: Abdominal pain [0.533] | Abnormal thorax morphology [0.513] | Headache [0.5] | PROMOT mapping: 'Pain in back' (LLM score: 0.4803) | Candidates: Abdominal pain [0.48] | Headache [0.466] | neurological pain disorder [0.456]
http://purl.obolibrary.org/obo/HP_0002013,Vomiting,"",http://id.who.int/icd/entity/1083127119|http://id.who.int/icd/entity/1389818830|http://purl.obolibrary.org/obo/PROMOT_0032006,http://snomed.info/id/12894003|http://snomed.info/id/840297006,Functional assessment|Assessment of PROMs (patient reported outcome measures)|Assessment of patient reported outcome measures,"","","","","","","","",http://id.who.int/icd/entity/1328675264,Eating,"","",0.4835,Vomiting [0.484] | Tinnitus [0.482] | respiratory system [0.466] || Vomiting [0.439] | quality of a substance [0.437] | morphology [0.411] || Vomiting [0.436] | liver bud [0.422] | larynx [0.397],PROMOT mapping: 'Functions of coughing' (LLM score: 0.4835) | Candidates: Vomiting [0.484] | Tinnitus [0.482] | respiratory system [0.466] | PROMOT mapping: 'Chewing' (LLM score: 0.439) | Candidates: Vomiting [0.439] | quality of a substance [0.437] | morphology [0.411] | PROMOT mapping: 'Choking on foods' (LLM score: 0.436) | Candidates: Vomiting [0.436] | liver bud [0.422] | larynx [0.397]
http://purl.obolibrary.org/obo/UBERON_0001601,extra-ocular muscle,"",http://id.who.int/icd/entity/1090716697,http://snomed.info/id/12894003,Functional assessment,"","","","","","","","","","","","",0.6723,extra-ocular muscle [0.672] | Weak extraocular muscles [0.668] | Abnormality of eye movement [0.564],PROMOT mapping: 'Functions of external muscles of the eye' (LLM score: 0.6723) | Candidates: extra-ocular muscle [0.672] | Weak extraocular muscles [0.668] | Abnormality of eye movement [0.564]
http://purl.obolibrary.org/obo/PATO_0002014,"structure, cavities","",http://id.who.int/icd/entity/1104062484|http://purl.obolibrary.org/obo/PROMOT_0032063,"","","","","","","","","","","","","","",0.5256,"structure, cavities [0.458] | pubic pre-cartilage condensation [0.456] | blastula stage [0.45] || structure, cavities [0.526] | Weakness of muscles of respiration [0.525] | presumptive endocardium [0.472]","PROMOT mapping: 'Pubertal functions' (LLM score: 0.4579) | Candidates: structure, cavities [0.458] | pubic pre-cartilage condensation [0.456] | blastula stage [0.45] | PROMOT mapping: 'Power of diaphragm' (LLM score: 0.5256) | Candidates: structure, cavities [0.526] | Weakness of muscles of respiration [0.525] | presumptive endocardium [0.472]"
http://purl.obolibrary.org/obo/UBERON_0001467,shoulder,"",http://id.who.int/icd/entity/1108927576,"","","","","","","","","","","","","","",0.6626,shoulder [0.663] | Abnormality of the shoulder girdle musculature [0.585] | shoulder joint primordium [0.546],PROMOT mapping: 'Structure of shoulder region' (LLM score: 0.6626) | Candidates: shoulder [0.663] | Abnormality of the shoulder girdle musculature [0.585] | shoulder joint primordium [0.546]
http://purl.obolibrary.org/obo/HP_0012824,Severity,"",http://id.who.int/icd/entity/1109440237,"","","","","","","","","","","","","","",0.4723,Severity [0.472] | Abnormality of the voice [0.469] | Timed Up and Go Functional Test [0.467],PROMOT mapping: 'Speed of speech' (LLM score: 0.4723) | Candidates: Severity [0.472] | Abnormality of the voice [0.469] | Timed Up and Go Functional Test [0.467]
