ID,Label,Definition,Type,Parent Class,PROMOT Cross-reference,Associated Phenotype (URI),Associated Phenotype (label),Assesses Phenotype (URI),Assesses Phenotype (label),Assesses Function (URI),Assesses Function (label),Captures Data About (URI),Captures Data About (label),Associated Function (URI),Associated Function (label),Involved In (URI),Involved In (label),Located In (URI),Located In (label)
ID,LABEL,A IAO:0000115,TYPE,SC %,A oboInOwl:hasDbXref,A nmdo:associated_phenotype SPLIT=|,A nmdo:associated_phenotype_label SPLIT=|,A nmdo:assesses_phenotype SPLIT=|,A nmdo:assesses_phenotype_label SPLIT=|,A nmdo:assesses_function SPLIT=|,A nmdo:assesses_function_label SPLIT=|,A nmdo:captures_data_about SPLIT=|,A nmdo:captures_data_about_label SPLIT=|,A nmdo:associated_function SPLIT=|,A nmdo:associated_function_label SPLIT=|,A nmdo:involved_in SPLIT=|,A nmdo:involved_in_label SPLIT=|,A nmdo:located_in SPLIT=|,A nmdo:located_in_label SPLIT=|
http://id.who.int/icd/entity/1019379329,Structure of upper extremity,,owl:Class,http://id.who.int/icd/entity/644658903,http://id.who.int/icd/entity/1019379329,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/1034220517,Alternative vocalization functions,Functions of the production of other manners of vocalization.,owl:Class,http://id.who.int/icd/entity/388067588,http://id.who.int/icd/entity/1034220517,http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007,"Clinical interview|History taking|History taking, health|Taking health history","","","","","","","","",http://id.who.int/icd/entity/151046878,Speaking,"",""
http://id.who.int/icd/entity/1041382491,Oral swallowing,Function of clearing substances through the oral cavity at an appropriate rate and speed.,owl:Class,http://id.who.int/icd/entity/923782542,http://id.who.int/icd/entity/1041382491,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/1065560247,Pain in stomach or abdomen,Sensation of unpleasant feeling indicating potential or actual damage to some body structure felt in the stomach or abdomen.,owl:Class,http://id.who.int/icd/entity/577558794,http://id.who.int/icd/entity/1065560247,http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007,"Clinical interview|History taking|History taking, health|Taking health history","","","","","","","","","","","",""
http://id.who.int/icd/entity/1083127119,Functions of coughing,,owl:Class,http://id.who.int/icd/entity/1682107878,http://id.who.int/icd/entity/1083127119,http://snomed.info/id/12894003,Functional assessment,"","","","","","","","","","","",""
http://id.who.int/icd/entity/1090716697,Functions of external muscles of the eye,"Functions of the muscles that are used to look in different directions, to follow an object as it moves across the visual field, to produce saccadic jumps to catch up with a moving target, and to fix the eye.",owl:Class,http://id.who.int/icd/entity/2031311308,http://id.who.int/icd/entity/1090716697,http://snomed.info/id/12894003,Functional assessment,"","","","","","","","","","","",""
http://id.who.int/icd/entity/1104062484,Pubertal functions,Functions associated with the onset of puberty and manifestations of primary and secondary sexual characteristics.,owl:Class,http://id.who.int/icd/entity/925451085,http://id.who.int/icd/entity/1104062484,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/1108927576,Structure of shoulder region,,owl:Class,http://id.who.int/icd/entity/644658903,http://id.who.int/icd/entity/1108927576,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/1109440237,Speed of speech,Functions of the rate of speech production.,owl:Class,http://id.who.int/icd/entity/213697684,http://id.who.int/icd/entity/1109440237,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/1110269994,distal,,owl:Class,http://id.who.int/icd/entity/437219407,http://id.who.int/icd/entity/1110269994,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/1119392889,Transferring oneself,"Moving from one surface to another, such as sliding along a bench or moving from a bed to a chair, without changing body position.",owl:Class,http://id.who.int/icd/entity/1266389839,http://id.who.int/icd/entity/1119392889,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/1131514421,Maintaining body position,"Staying in the same body position as required, such as remaining seated or remaining standing for carrying out a task, in play, work or school.",owl:Class,http://id.who.int/icd/entity/1266389839,http://id.who.int/icd/entity/1131514421,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/1134562249,Functions of the joints and bones,,owl:Class,http://id.who.int/icd/entity/161488596,http://id.who.int/icd/entity/1134562249,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/1164313611,Muscle functions,,owl:Class,http://id.who.int/icd/entity/161488596,http://id.who.int/icd/entity/1164313611,"","","","","","","","","","","","","",""
http://id.who.int/icd/entity/117147127,Pain in chest,Sensation of unpleasant feeling indicating potential or actual damage to some body structure felt in the chest.,owl:Class,http://id.who.int/icd/entity/577558794,http://id.who.int/icd/entity/117147127,http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007|http://snomed.info/id/84100007,"Clinical interview|History taking|History taking, health|Taking health history","","","","","","","","","","","",""
http://id.who.int/icd/entity/1174312718,Manipulation of food in the mouth,Functions of moving food around the mouth with the teeth and tongue.,owl:Class,http://id.who.int/icd/entity/363211474,http://id.who.int/icd/entity/1174312718,http://snomed.info/id/840297006|http://snomed.info/id/840297006,Assessment of PROMs (patient reported outcome measures)|Assessment of patient reported outcome measures,"","","","","","","","",http://id.who.int/icd/entity/1328675264,Eating,"",""
